Unidade de Produção,Espécie,Volume Total (m³),Número de Árvores,Preço (R$/m³),Valor Estimado (R$)
AC_157,murmuru,0.8272440187671206,10,600.0,496.34641126027236
AC_157,ninhare amarelo,1.2451986260932113,1,600.0,747.1191756559268
AC_157,olacacea,0.22163278834939093,2,600.0,132.97967300963455
AC_157,pama caucho,0.5620713252306193,3,600.0,337.2427951383716
AC_157,pama preta,2.1416482186045354,4,650.0,1392.071342092948
AC_157,pataua,0.3173245435473894,1,600.0,190.39472612843366
AC_157,pau alho,3.63223876988289,1,600.0,2179.343261929734
AC_157,pau darquinho grande,0.027324175759430313,1,600.0,16.394505455658187
AC_157,pau sangue,1.54327180004146,5,650.0,1003.126670026949
AC_157,paxiubao,1.9364026547873867,4,600.0,1161.841592872432
AC_157,paxiubinha,0.6471531949066119,5,600.0,388.2919169439672
AC_157,pitaica preta,0.5197184915367232,1,600.0,311.8310949220339
AC_157,seringarana,2.845246073183152,1,650.0,1849.4099475690487
AC_157,seringueira,2.77737107701775,2,600.0,1666.42264621065
AC_157,sucuba,0.20058110084109196,1,600.0,120.34866050465517
AC_157,tachi vermelho,3.491985607495156,2,600.0,2095.1913644970937
AC_157,torem embauba,0.08055570659914447,1,600.0,48.33342395948669
AC_157,ucuuba preta,1.6971953027549658,2,650.0,1103.1769467907277
AC_157,ucuuba puna,0.04866201699814606,1,600.0,29.197210198887635
AC_157,uricuri,2.782950639050842,7,600.0,1669.7703834305053
AC_157,urucurana vermelha,3.546217363521127,2,650.0,2305.0412862887324
AC_157,violeta,0.23923855567162694,2,600.0,143.54313340297617
AC_157,xixa amarelo,4.937620971577337,2,700.0,3456.3346801041357
AC_157,xixa vermelho,0.15646243208630162,1,600.0,93.87745925178098
AC_159,axixa,0.04074623410361127,1,600.0,24.447740462166763
AC_159,axixa branco,0.4712330413817012,1,600.0,282.73982482902073
AC_159,botijao,0.16513903942492625,3,600.0,99.08342365495575
AC_159,coco uricuri,0.41320492501301476,1,600.0,247.92295500780887
AC_159,espinheiro branco,0.08471176158886023,2,600.0,50.82705695331614
AC_159,joao mole,0.028355186671132113,1,600.0,17.013112002679268
AC_159,mamorana,0.0749395919065616,2,600.0,44.963755143936964
AC_159,matamata branco,0.02428780444378862,1,600.0,14.572682666273172
AC_159,mulungu,0.025864207223326333,1,650.0,16.811734695162116
AC_159,murmuru,0.2397098577608317,3,600.0,143.825914656499
AC_159,ni 4,0.05156945253738303,1,600.0,30.941671522429818
AC_159,ortiga preta,0.11968819957290677,3,600.0,71.81291974374406
AC_159,pajau,0.2138177867626557,3,600.0,128.2906720575934
AC_159,pama caucho,0.5776252062630173,1,600.0,346.5751237578104
AC_159,sucupira banha de galinha,11.157328809511142,1,600.0,6694.397285706686
AC_159,sumauma,0.04640970200790377,1,600.0,27.845821204742265
AC_159,sumauma rosa,0.11655991173385505,1,600.0,69.93594704031302
AC_159,tachizao,0.02857080116510241,1,600.0,17.142480699061448
AC_160,burra leiteira,1.6898361480913966,4,650.0,1098.3934962594078
AC_160,capa bode,0.09343525120977206,2,600.0,56.061150725863236
AC_160,cedro,0.17985908146268142,3,600.0,107.91544887760885
AC_160,espinheiro branco,0.08896882776272963,1,600.0,53.381296657637776
AC_160,freijo branco,0.6422170574162558,2,600.0,385.33023444975345
AC_160,inga vermelha,0.5783297209306348,1,650.0,375.91431860491264
AC_160,joao mole,0.21225152801882274,1,600.0,127.35091681129364
AC_160,melancieiro,0.2162767064937694,1,600.0,129.76602389626163
AC_160,ni 3,0.03932540352923333,1,600.0,23.59524211754
AC_160,pama caucho,0.716078620742378,1,600.0,429.6471724454268
AC_160,parica,11.83951322203546,5,600.0,7103.707933221276
AC_160,pau rachador,0.3599473684009124,1,600.0,215.96842104054744
AC_160,pente de macaco,1.2038249681878157,1,600.0,722.2949809126894
AC_160,sucupira banha de galinha,3.024384352400349,1,600.0,1814.6306114402093
AC_160,ucuuba preta,0.2761111619729265,1,650.0,179.47225528240224
AC_161,abiu coroa,0.08661867564301527,1,600.0,51.971205385809164
AC_161,abiurana,1.0914807622212561,7,600.0,654.8884573327537
AC_161,amescla,2.016449318075387,1,600.0,1209.8695908452323
AC_161,axixa,0.743692331304921,1,600.0,446.2153987829526
AC_161,açai,2.4704625748528657,18,600.0,1482.2775449117194
AC_161,bacaba,0.22526369058371462,3,600.0,135.15821435022877
AC_161,bacuri,1.22063572947336,6,600.0,732.3814376840161
AC_161,balata brava,0.0420842606139239,1,600.0,25.250556368354342
AC_161,balatinha,1.4179791630320269,5,600.0,850.7874978192161
AC_161,cacaui,0.1547673332497263,1,600.0,92.86039994983578
AC_161,cajarana,0.09530421017806788,1,700.0,66.71294712464751
AC_161,canela de velho,0.031004994503688803,1,650.0,20.153246427397722
AC_161,capoeiro,2.0482260275175523,2,600.0,1228.9356165105314
AC_161,castainha,0.039434365342379374,1,650.0,25.632337472546592
AC_161,cedro rosa,7.315997050480297,3,600.0,4389.5982302881785
AC_161,cerejeira,0.19114399281982422,1,600.0,114.68639569189453
AC_161,envira amarela,0.4897977317348887,5,600.0,293.87863904093325
AC_161,envira ferro,0.6677595640019732,6,600.0,400.65573840118395
AC_161,envira surucucu,1.0352391989913918,1,600.0,621.1435193948352
AC_161,ervarana,0.10253649715030543,1,600.0,61.52189829018325
AC_161,farinha seca,0.04288363189780481,1,600.0,25.730179138682885
AC_161,fava amarela,0.9233086370035443,1,600.0,553.9851822021266
AC_161,fava arara tucupi,3.9079827493992756,1,600.0,2344.789649639565
AC_161,fedegoso,0.3270911518558545,1,600.0,196.2546911135127
AC_161,goiaba de anta,0.07219903880977191,1,600.0,43.319423285863145
AC_161,guariuba,1.8613378846952746,4,600.0,1116.8027308171647
AC_161,inga vermelho,0.9708104357197295,2,600.0,582.4862614318376
AC_161,inhare,0.11079865738295717,2,600.0,66.47919442977431
AC_161,itauba,0.30133174672742813,1,600.0,180.79904803645687
AC_161,jaci,0.7605291576938517,3,600.0,456.31749461631097
AC_161,joao mole miudo,0.23176176730041181,1,600.0,139.0570603802471
AC_161,louro preto,0.052151948165296724,1,700.0,36.50636371570771
AC_161,macacauba,0.5242779419959308,1,600.0,314.5667651975585
AC_161,macucu casca seca,0.892899919916509,6,600.0,535.7399519499054
AC_161,macucu sangue,3.8396036950342354,3,600.0,2303.7622170205414
AC_161,maparajuba,0.07436995085346731,1,600.0,44.62197051208039
AC_161,mata mata,0.14731862426598202,1,600.0,88.39117455958922
AC_161,mata mata catana,30.353515009554094,4,600.0,18212.109005732458
AC_161,mogno,5.573032273040133,1,600.0,3343.81936382408
AC_161,muiratinga,0.13059801606429716,1,600.0,78.3588096385783
