UP;Subunidade;Subparcela;Volume_m3;Num_arvores;Volume_m3_ha;Arvores_ha
AC_115;4;5;0.900987154;1;36.03948617;40
AC_115;4;7;0.165559677;2;6.622387066;80
AC_115;4;8;2.399713539;3;95.98854155;120
AC_115;4;9;0.310151191;3;12.40604764;120
AC_115;4;11;7.405983667;1;296.2393467;40
AC_115;4;14;17.57748398;1;703.0993594;40
AC_115;4;15;5.267719548;1;210.7087819;40
AC_115;4;16;11.92962403;1;477.184961;40
AC_115;4;17;1.935286165;1;77.4114466;40
AC_118;1;1;0.46795133;5;18.7180532;200
AC_118;1;2;1.31609308;5;52.64372319;200
AC_118;1;3;1.299732641;5;51.98930563;200
AC_118;1;4;0.570524476;3;22.82097905;120
AC_118;1;5;3.077471517;8;123.0988607;320
AC_118;1;6;0.675011728;3;27.00046913;120
AC_118;1;7;0.752907271;6;30.11629085;240
AC_118;1;8;0.710560577;4;28.42242308;160
AC_118;1;9;2.847007274;9;113.880291;360
AC_118;1;10;1.106515423;2;44.26061693;80
AC_118;2;1;1.48561676;4;59.42467041;160
AC_118;2;2;1.452582296;5;58.10329186;200
AC_118;2;3;0.500683724;4;20.02734898;160
AC_118;2;4;0.798413109;4;31.93652437;160
AC_118;2;5;2.379392803;7;95.17571211;280
AC_118;2;6;2.092350107;3;83.69400429;120
AC_118;2;7;8.272481543;9;330.8992617;360
AC_118;2;8;3.0987053;6;123.948212;240
AC_118;2;9;1.842990782;2;73.71963129;80
AC_118;2;14;1.896936607;1;75.8774643;40
AC_118;2;16;3.913847058;1;156.5538823;40
AC_118;2;17;3.603990957;1;144.1596383;40
AC_118;2;18;1.715438449;1;68.61753798;40
AC_118;2;20;1.754915334;1;70.19661335;40
AC_118;3;1;1.268199967;6;50.72799868;240
AC_118;3;2;0.613937656;3;24.55750623;120
AC_118;3;3;1.345016567;7;53.80066267;280
AC_118;3;4;1.365258189;4;54.61032757;160
AC_118;3;5;5.826803875;10;233.072155;400
AC_118;3;6;0.222960911;4;8.918436443;160
AC_118;3;7;4.151913598;6;166.0765439;240
AC_118;3;8;0.922800922;4;36.91203688;160
AC_118;3;9;1.022372248;3;40.89488992;120
AC_118;3;10;2.445876357;8;97.83505429;320
AC_118;4;1;0.935848918;4;37.43395671;160
AC_118;4;2;1.035963642;8;41.43854569;320
AC_118;4;3;2.954013511;8;118.1605404;320
AC_118;4;4;4.03641888;8;161.4567552;320
AC_118;4;5;1.816339997;10;72.65359987;400
AC_118;4;6;0.758103383;5;30.32413534;200
AC_118;4;7;0.323878034;3;12.95512136;120
AC_118;4;8;0.42538975;4;17.01559;160
AC_118;4;9;0.733389726;6;29.33558904;240
AC_118;4;10;1.195194827;6;47.80779307;240
AC_118;4;14;1.972935889;1;78.91743558;40
AC_119;1;1;0.224924961;4;8.996998426;160
AC_119;1;2;0.163420074;2;6.536802941;80
AC_119;1;3;1.526151958;4;61.04607834;160
AC_119;1;4;0.752737204;7;30.10948815;280
AC_119;1;5;0.374724115;6;14.9889646;240
AC_119;1;6;2.363091212;10;94.52364847;400
AC_119;1;8;0.040126776;1;1.605071028;40
AC_119;1;10;0.025675677;1;1.027027086;40
AC_119;2;1;0.735781555;7;29.43126219;280
AC_119;2;2;2.298771277;5;91.9508511;200
AC_119;2;3;0.31524896;5;12.60995842;200
AC_119;2;4;0.024287804;1;0.971512178;40
AC_119;2;5;0.420338631;2;16.81354523;80
AC_119;2;6;3.436125421;6;137.4450169;240
AC_119;2;7;0.091577174;2;3.663086972;80
AC_119;2;8;2.351845686;6;94.07382744;240
AC_119;2;9;1.054680581;5;42.18722323;200
AC_119;2;10;1.279134348;3;51.16537391;120
AC_119;2;13;1.360407735;1;54.41630939;40
AC_119;2;15;4.935769311;3;197.4307724;120
AC_119;3;1;0.027770812;1;1.110832496;40
AC_119;3;4;0.055272654;2;2.210906171;80
